item_id,brand,corner,category,price
P4205560010000,키이스,타운웨어,엘레강스캐쥬얼,119000
P4218913014400,임프레션,행사,란제리,15000
P4109350203210,탠디,여성구두,여성구두,130500
P4118860003000,무크구두,캐쥬얼구두,남여구두,155000
P4523040050800,스트라이드라이트,잡화,문화용품,39000
P4125270008400,슈프리미아,화장잡화,장신구,10000
P4552400052000,대현사,테이프,문화용품,6100
P4130910006900,에뜨왈드파리,수입ACC,장신구,100000
P4417990026020,베이직,진케주얼,진케주얼,44000
P4300380019900,인터메죠,캐릭터캐주얼,캐릭터정장,59000
P2116054008000,오리진스,수입종합화장품,화장품,40000
P2139142008000,헤레나,수입종합화장품,화장품,26000
P6121800003000,금강현금,임대구두,남여구두,160000
P4520910048100,성일완구,완구,문화용품,16000
P4141530003000,엘레강스,드레스구두,남여구두,144000
P4126561009500,캘빈클라인시계,패션시계,장신구,170000
P4102410006900,스와로브스키,수입악세사리,악세사리,86000
P2139143008000,비오뗌화장품,수입종합화장품,화장품,105000
P6133910008000,더바디,수입종합화장품,화장품,5900
P4202280010000,데코,베이직캐주얼,캐릭터캐주얼,217000
P4107390008000,엘리자베스아덴,수입종합화장품,화장품,25000
P4200680010000,레노마,트렌드캐주얼,캐릭터캐주얼,99000
P4531190052000,동신레코드,문화,문화,40000
P4400102026000,게스,진캐주얼,진캐주얼,167800
P4411690126000,쌈지스포츠,스포츠캐주얼,진캐주얼,108000
P4120440002981,싹스탑양말,양말,섬유,13000
P4539300050800,쁘띠앙팡,문화,문화,78000
P4129790008400,네일에비뉴,영커리어캐주얼,어덜트캐주얼,74000
P4208201114400,보디가드,패션란제리,소품,72500
P4203760010000,데무,트렌드캐주얼,캐릭터캐주얼,356000
P4100394005900,W  M,토탈,피혁B,93000
P4226731010030,모리스커밍홈,베이직캐주얼,캐릭터캐주얼,152600
P4132380006000,블루딘,준보석,장신구,210000
P6135640006000,골든듀준보석,보석,장신구,224000
P4226731010053,모리스커밍홈,베이직캐주얼,캐릭터캐주얼,-152600
P4226731010000,모리스커밍홈,베이직캐주얼,캐릭터캐주얼,258000
P4300251019900,파코라반,캐릭터,캐주얼,725000
P4104881000300,서도스카프,스카프,섬유,55000
P4119028004000,파코라반핸드백,핸드백,피혁B,498000
P4137710008300,구찌향수,화장품,소품,72000
P4210458010000,엘르,미씨캐릭터,미씨캐주얼,388400
P4417750022010,베이비헤로스,미확인코너,아동,99900
P4132380006074,블루딘,준보석,장신구,230000
P4219420110000,끌레몽트,미씨캐릭터,미씨캐주얼,158000
P4414100020053,012베네통,아동,아동,163100
P4510130050200,알파문구,문화,문화,80000
P4208200114400,제임스딘.P,패션란제리,소품,104000
P4119020000300,예진스카프,스카프,섬유,55000
P4115650005900,펠레보르사,핸드백행사,피혁B,35000
P4208792026000,키라라,영캐주얼,영캐주얼,258000
P4300320019900,레드옥스,캐릭터,캐주얼,548700
P4417650020474,레노마쥬니어,아동,아동,135000
P4400100020000,미키클럽,아동,아동,67000
P4400060020000,피에르가르뎅,아동,아동,57000
P4239550026000,CK,진캐주얼,진캐주얼,118000
P4401440022000,무냐무냐,미확인코너,아동,59000
P4409750020020,티파니,아동,아동,150400
P4417740020020,빈,아동,아동,292800
P4400100020020,미키클럽,아동,아동,222400
P4553520050771,씨앤에이치,문화,문화,28000
P4400101020000,게스키즈,아동,아동,163410
P4218913214400,임프레션,란제리,타운란제리,80000
P4103320005910,쌈지토탈,토탈,피혁B,138600
P4417740020000,빈,아동,아동,275000
P4401440022900,무냐무냐,신생아,아동,115000
P4525860050800,테디아동화,잡화(문화),문화,64000
P4417730020010,인터크루키즈,아동복,아동,46000
P4227690011200,엘르스포츠,영트랜드,영트렌디,110600
P4200370014400,트라이,내의,내의란제리,80000
P6132640012500,루이비통,수입의류,명품토탈,665000
P6124240019900,까르띠에본점,수입의류,명품토탈,1960000
P4400492028410,리복슈즈,스포츠슈즈,스포츠,98100
P4139760003100,잉글랜드구두,드레스구두,남여구두,150000
P4100110001100,비비안스타킹,스타킹,섬유잡화,30000
P4124440004100,쌤소나이트,가방,핸드백,435000
P4300850016400,닥스,셔츠,셔츠,142000
P6138280010000,에르메스부틱현대백화점,수입의류,명품토탈,170000
P4118950012500,에이테스토니수입부틱,수입의류,명품토탈,836000
P4116051008300,아라미스,향수,화장품,40000
P4135480003200,고세,싸롱화,피혁A,139000
P4239840010020,시세도,뉴베이직캐주얼,어덜트캐주얼,75200
P4100110001120,비비안스타킹,스타킹,섬유,41600
P4408175029900,루커스가방,스포츠용품,스포츠,52000
P4405621020462,지오다노쥬니어,아동,아동,69200
P4400590025000,아놀드파마,골프웨어,골프,62300
P4100390200170,닥스넥타이,남성잡화,셔츠,63000
P6138280012500,에르메스부틱현대백화점,수입의류,명품토탈,170000
P4208421010000,G보티첼리,미시케쥬얼,여성캐주얼,399000
P4227690111000,엘르스포츠,영커리어캐주얼,어덜트캐주얼,83000
P4408170025000,엘로드,골프웨어,골프,158000
P4217850010000,손정완,디자이너캐릭터,미씨캐주얼,148000
P6135430003000,금강현금,NB제화,피혁A,160000
P4207930013076,정호진,니트웨어,수입명품,50000
P6318221019930,입생로랑(캐),어덜트,캐주얼,62300
P4551450042174,세일플러스,주방용품,식기,51000
P4242251013071,시슬리,영커리어캐주얼,어덜트캐주얼,44000
P4242251011000,시슬리,영커리어캐주얼,어덜트캐주얼,108000
P4242250011000,베네통,영커리어캐주얼,어덜트캐주얼,125000
P4100832210073,버버리,명품,수입명품,240000
P4217850013074,손정완,디자이너캐릭터,미씨캐주얼,573000
P4227360013074,앗슘,미씨캐릭터,미씨캐주얼,490000
P4100832010073,미등록상품,수입명품,수입명품,276000
P4108030010000,미쏘니,수입명품,수입명품,89000
P4120500010030,겐조수입의류,수입명품,수입명품,73500
P4230120011030,스테파넬,영커리어캐주얼,어덜트캐주얼,76300
P4217850010030,손정완,디자이너캐릭터,미씨캐주얼,100000
P4242251011030,시슬리,영커리어캐주얼,어덜트캐주얼,66500
P4239840010030,시세도,뉴베이직캐주얼,어덜트캐주얼,89600
P4407951022970,루니툰베이베,미확인코너,아동,45000
P4231090010000,YK038,트렌드캐주얼,캐릭터캐주얼,198000
P4234840010000,랄프로렌,칼라드래디셔널,타운란제리,105000
P4400211022974,파코라반,미확인코너,아동,62900
P4401610029970,닥스수영복,수영복,스포츠,44000
P2503471040600,오진/코렐,초도자기,식기,46900
P4408174027000,코오롱스포츠,아웃도어,스포츠,110000
P4114071013080,지아니베르사체,수입부띠끄,로얄부띠끄,125800
P4131111006000,발렌티노루디,준보석,장신구,30000
P4300410119900,코모도,캐릭터캐주얼,캐릭터정장,44000
P4404660026020,리,진캐쥬얼,진캐쥬얼,47200
P4118340008300,캘빈클라인화장품,수입향수,화장품,26000
P4230120013070,스테파넬,영캐주얼,트랜디 케쥬얼,49000
P4140570000820,금양니나리찌양말,양말,명품시즌,15040
P4227690011030,엘르스포츠,영캐주얼,트랜디 케쥬얼,96600
P4125900006670,쟝폴앤클라리세,헤어액세사리,장신구,60000
P4123660005920,메트로씨티,핸드백,핸드백,93600
P4226950013085,김영주,부띠끄,디자이너부띠크,99000
P4405231026000,루츠,용기보증,쇼핑보증,25100
P4417420026000,GV2,진캐쥬얼,진캐쥬얼,278000
P4553010050700,토이스쿨,팬시,문화용품,34000
P4204520010000,김연주,디자이너숍,디자이너부띠끄,445000
P4100832210000,버버리,수입부띠끄,로얄부띠끄,135000
P4123560008000,클라란스,수입종합화장품,화장품,54000
P4520930050800,베이비케어,잡화,문화용품,18000
P4414100020010,012베네통,아동,아동복,151200
P4202161011270,ENC,영트랜드,영트렌디,57000
P4229810011200,베네통,영트랜드,영트렌디,396000
P4531410050100,모닝글로리,테이프,문화용품,42800
P4400202022400,쇼콜라,유아복,아동복,112500
P4208200014400,제임스딘.P,내의,내의란제리,25500
P4229810011230,베네통,영트랜드,영트렌디,33600
P4200640013100,와코루,란제리,내의란제리,128000
P4520910048120,성일완구,완구,문화용품,12800
P4524460048700,레고,완구,문화용품,5500
P4410160020471,미키  미니,아동특선,아동복,57800
P4400213022200,압소바,유아복,아동복,29000
P4544450041900,대영/두눈머그,수입도자기,식기,50000
P4512500051500,태창비디오,테이프,문화용품,22000
P4505420040300,해강도예,초도자기,식기,78000
P4533170049900,앰비,완구,문화용품,63000
P4502160934000,삼성,라디오.카세트,가전,160000
P4400202022300,쇼콜라,유아복,아동복,50400
P4140440003200,키사,캐쥬얼구두,남여구두,158000
P4533070050710,막스앤밀리,팬시,문화용품,13500
P4552280043375,동성브릴리앙스,욕실용품,식기,33000
P4502160939001,삼성,취사소형,가전,160000
P4400202022210,쇼콜라,유아복,아동복,31500
P4400280023210,NUK,유아복,아동복,30720
P4512500051510,태창비디오,테이프,문화용품,56430
P6121800003020,금강현금,임대구두,남여구두,112000
P4410140029000,청마스포츠,용품,스포츠,4800
P4406260022300,아가방,용기보증,미확인pc,18100
P4406260022910,아가방,유아복,아동복,153000
P4204830010000,앤클라인,미시케쥬얼,여성캐주얼,370000
P4414100020000,012베네통,아동,아동복,43000
P4109000110000,막스마라,수입부띠끄,로얄부띠끄,1636000
P4554064050100,알파문구,문구,문화용품,5000
P4406010020030,베베,아동,아동복,124600
P4406010020053,베베,아동,아동복,-124600
P4550390935070,동아전자,전화기,가전,114000
P4413860020000,폴로보이즈,아동,아동복,32000
P4120440000800,싹스탑양말,양말,섬유잡화,3500
P4208200015080,제임스딘.P,내의,내의란제리,15000
P4523260050800,밤비니,잡화,문화용품,45000
P4240520013074,비즈,영트랜드,영트렌디,35000
P4400040020471,모다까리나,아동,아동복,30000
P4400281020020,끼꼬,아동,아동복,62400
P4529630042170,정우물산,주방용품,식기,30400
P4406260022200,아가방,유아복,아동복,39000
P4201680026000,메이폴,진캐주얼,진캐주얼,29800
P6418770027000,나이키의류임대,스포츠웨어,스포츠,34000
P4230010013074,린,캐릭터,캐릭터캐쥬얼,119000
P4228720013080,페인트하우스,영캐주얼,트랜디 케쥬얼,39000
P4241080013074,바닐라,영캐주얼,트랜디 케쥬얼,29000
P4104880000200,서도손수건,손수건,명품시즌,14000
P4208760026000,1492,진캐주얼,진캐주얼,52000
P4109160008000,크리스챤디올화장품,수입종합화장품,화장품,50000
P4234630011274,쿠가이,영트랜드,영트렌디,39000
P4319830015500,어바우트,캐릭터캐주얼,캐릭터정장,48000
P4103610003200,키사,캐릭터슈즈,패션슈즈,138000
P4504940939002,필립스,취사소형,가전/문화,44000
P4218910013100,비비안,란제리,미씨캐릭터,45000
P4135060003977,운스구르페,행사슈즈,패션슈즈,59000
P4139141008000,랑콤,수입종합화장품,화장품,136000
P4204831010063,ABFZ,캐릭터캐쥬얼,영캐릭터캐쥬얼,46200
P4203160010000,마인,캐릭터캐쥬얼,영캐릭터캐쥬얼,58000
P4217340013120,트라이엄프,란제리,미씨캐릭터,64800
