my_id,유형
A054983,무면허
A069038,무면허
A016415,무면허
A034256,무면허
A014279,무면허
A034718,무면허
A047462,무면허
A055434,무면허
A047088,무면허
A047181,무면허
A050555,무면허
A046980,무면허
A017164,무면허
A001420,무면허
A059213,무면허
A009738,무면허
A051734,무면허
A067915,무면허
A017839,무면허
A055230,무면허
A043301,무면허
A021541,무면허
A061174,무면허
A058226,무면허
A072888,무면허
A014522,무면허
A039578,무면허
A055175,무면허
A068187,무면허
A007085,무면허
A045352,무면허
A037870,무면허
A049072,무면허
A072795,무면허
A035739,무면허
A045866,무면허
A029739,무면허
A070650,무면허
A021452,무면허
A070726,무면허
A008575,무면허
A024644,무면허
A018589,무면허
A049785,무면허
A005572,무면허
A034489,무면허
A051898,무면허
A026005,무면허
A030708,무면허
A008796,무면허
A042422,무면허
A010963,무면허
A070512,무면허
A032205,무면허
A066226,무면허
A068985,무면허
A050141,무면허
A068374,무면허
A065617,무면허
A070232,무면허
A012034,무면허
A014445,무면허
A039783,무면허
A050014,무면허
A044062,무면허
A009702,무면허
A052615,무면허
A051792,무면허
A036474,무면허
A006000,무면허
A067666,무면허
A000113,무면허
A039555,무면허
A060060,무면허
A048228,무면허
A007950,무면허
A049448,무면허
A010446,무면허
A071283,무면허
A035364,무면허
A052644,무면허
A065898,무면허
A060474,무면허
A057800,무면허
A007181,무면허
A030868,무면허
A024799,무면허
A015298,무면허
A015265,무면허
A070563,무면허
A070083,무면허
A034740,무면허
A003986,무면허
A054627,무면허
A030639,무면허
A057162,무면허
A015196,무면허
A003433,무면허
A015399,무면허
A039844,무면허
A026486,무면허
A038894,무면허
A015374,무면허
A048736,무면허
A070093,무면허
A032669,무면허
A038145,무면허
A030574,무면허
A007589,무면허
A054052,무면허
A057227,무면허
A006435,무면허
A036344,무면허
A069009,무면허
A056834,무면허
A012192,무면허
A021634,무면허
A028731,무면허
A027543,무면허
A055930,무면허
A006936,무면허
A062360,무면허
A066309,무면허
A021101,무면허
A055479,무면허
A034764,무면허
A029899,무면허
A041011,무면허
A068119,무면허
A057950,무면허
A048686,무면허
A003529,무면허
A074287,무면허
A028911,무면허
A011187,무면허
A040877,무면허
A053372,무면허
A015108,무면허
A059180,무면허
A071253,무면허
A040597,무면허
A059377,무면허
A065730,무면허
A067011,무면허
A009255,무면허
A038089,무면허
A015738,무면허
A074433,무면허
A061049,무면허
A002393,무면허
A027820,무면허
A032169,무면허
A068459,무면허
A057641,무면허
A026462,무면허
A028855,무면허
A064948,무면허
A030107,무면허
