artist_id,name,followers,popularity,url,image_url
4pJCawaKSZ40EnxN0YEYw3,Badfinger,338089,57,https://open.spotify.com/artist/4pJCawaKSZ40EnxN0YEYw3,https://i.scdn.co/image/b97b494de7eb8619b1e2765ec5b0fe327e09b809
6d4jrmreCmsenscuieJERc,The Band CAMINO,316680,61,https://open.spotify.com/artist/6d4jrmreCmsenscuieJERc,https://i.scdn.co/image/ab6761610000e5ebd5d48086bd150eff12357f85
2pVMD4bFwl4AyoYyyo51Qg,Barclay James Harvest,146162,44,https://open.spotify.com/artist/2pVMD4bFwl4AyoYyyo51Qg,https://i.scdn.co/image/2bd9cca4cd9b7bc145272387fd62a8a96d6826fd
3rfgbfpPSfXY40lzRK7Syt,Barry White,1584719,63,https://open.spotify.com/artist/3rfgbfpPSfXY40lzRK7Syt,https://i.scdn.co/image/c00b771ca8b6241bcfe316f8e8a11072714e79ef
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,3856583,70,https://open.spotify.com/artist/3oDbviiivRWhXwIE8hxkVV,https://i.scdn.co/image/ab6761610000e5eb92602f233ce2295748f44603
03r4iKL2g2442PT9n2UKsx,Beastie Boys,2345863,67,https://open.spotify.com/artist/03r4iKL2g2442PT9n2UKsx,https://i.scdn.co/image/705bcd56dc5dbf9ebc578a3ba8094e6d622862c2
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,23831948,82,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,https://i.scdn.co/image/ab6761610000e5ebe9348cc01ff5d55971b22433
4obzFoKoKRHIphyHzJ35G3,Becky G,12559238,79,https://open.spotify.com/artist/4obzFoKoKRHIphyHzJ35G3,https://i.scdn.co/image/ab6761610000e5eb978f96761eb3fa26b91f1fb8
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,6155364,75,https://open.spotify.com/artist/1LZEQNv7sE11VDY3SdxQeN,https://i.scdn.co/image/1d5a05673975ba0c378cd280344e000b0b865620
7xkAwz0bQTGDSbkofyQt3U,Belinda Carlisle,711739,59,https://open.spotify.com/artist/7xkAwz0bQTGDSbkofyQt3U,https://i.scdn.co/image/ab6761610000e5eb5b8aa1f522a5ac2df6972bcd
45lorWzrKLxfKlWpV7r9CN,Ben Harper,935788,60,https://open.spotify.com/artist/45lorWzrKLxfKlWpV7r9CN,https://i.scdn.co/image/ab6761610000e5eb335d3a49a350165c7926b213
5schNIzWdI9gJ1QRK8SBnc,Ben Howard,1948912,64,https://open.spotify.com/artist/5schNIzWdI9gJ1QRK8SBnc,https://i.scdn.co/image/ab6761610000e5eb7f6d3ce714aba5b2c38212dc
0kV0e99xlTJcLKSu8KrLyp,Benny Andersson,29112,46,https://open.spotify.com/artist/0kV0e99xlTJcLKSu8KrLyp,https://i.scdn.co/image/ab6761610000e5eb2bb5e483384133fe84f7e2fd
