,min,25%,50%,75%,max,null_check
X1TSEFF,-3.07,-0.52,0.17,0.69,3.17,5751
X1TSEXP,-4.94,-0.65,0.16,0.98,1.37,5529
X1TSPRINC,-3.36,-0.41,-0.13,0.77,1.48,5868
X1TSRESP,-4.21,-0.38,-0.13,0.62,1.92,5712
X1CONTROL,1.0,1.0,1.0,1.0,2.0,0
X1LOCALE,1.0,1.0,2.0,3.0,4.0,0
X1REGION,1.0,2.0,3.0,3.0,4.0,0
X1SCHOOLCLI,-4.22,-0.99,-0.31,0.3475,1.97,2942
X1COUPERTEA,-4.92,-0.8,0.03,0.81,1.56,1680
X1COUPERCOU,-6.43,-0.69,0.26,1.02,1.15,1574
X1COUPERPRI,-5.51,-0.68,0.2,1.1,1.1,1912
X1AQSTAT,1.0,1.0,1.0,1.0,8.0,0
X1AQDATE,200910.0,200911.0,201001.0,201001.0,201001.0,746
X1STU30OCC2,11.0,23.0,27.0,29.0,55.0,2928
