STU_ID,X1SEX,X1RACE,X1STDOB,X1TXMTH,X1TXMSEM,X1TXMSCR,X1TXMTSCOR,X1TXMPROF1,X1TXMPROF2,X1TXMPROF3,X1TXMPROF4,X1TXMPROF5,X1PAR1EDU,X1PAR1EMP,X1PAR1OCC2,X1PAR1RACE,X1P2RELATION,X1PAR2EDU,X1PAR2OCC2,X1PAREDU,X1PARPATTERN,X1MOMEDU,X1MOMEMP,X1MOMOCC2,X1MOMRACE,X1DADEDU,X1DADOCC2,X1HHNUMBER,X1FAMINCOME,X1SES,X1SESQ5,X1SES_U,X1SESQ5_U,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIID,X1SCIUTI,X1SCIEFF,X1SCIINT,X1SCHOOLBEL,X1SCHOOLENG,X1STUEDEXPCT,X1PAREDEXPCT,X1TMLINK,X1TMCRSLINK,X1TMCOMM,X1TMEFF,X1TMEXP,X1TMPRINC,X1TMRESP,X1TSLINK,X1TSCRSLINK,X1TSCOMM,X1TSEFF,X1TSEXP,X1TSPRINC,X1TSRESP,X1LOCALE,X1REGION,X1SCHOOLCLI,X1COUPERTEA,X1COUPERCOU,X1COUPERPRI,X1AQSTAT,birthyear,birthmonth,X1STU30OCC2
22040,1,8,199309.0,-1.1204,0.2697,24.453,39.1194,0.6076,0.0843,0.0448,0.041,0.0471,2.0,4.0,51.0,8.0,6.0,2.0,51.0,2.0,2.0,2.0,4.0,51.0,8.0,2.0,51.0,5.0,4.0,-0.4715,2,-0.5668,2,-0.57,-0.13,0.1,0.19,0.91,0.1,-0.89,0.16,-0.39,-1.79,11,2.0,3,2,0.22,-0.85,0.3,0.79,-0.5,1,8,0.01,0.17,0.16,-0.13,-0.13,2,2,-2.53,-1.09,-1.38,-1.11,1,3,9,1
22042,2,3,199406.0,-2.3253,0.4494,16.4752,26.6108,0.0172,0.0132,0.0277,0.0369,0.0462,2.0,4.0,35.0,3.0,0.0,0.0,0.0,2.0,7.0,2.0,4.0,35.0,3.0,0.0,0.0,2.0,1.0,-1.5209,1,-1.6514,1,-1.13,-0.13,0.1,0.19,-0.94,0.1,0.25,0.16,-1.41,1.39,11,2.0,3,8,-1.26,-0.3,-1.07,1.48,-0.29,8,8,0.01,0.17,0.16,-0.13,-0.13,4,2,-0.54,1.07,1.15,0.95,1,4,6,0
22043,1,5,199503.0,-1.7216,0.342,19.2364,32.8782,0.1447,0.0299,0.031,0.0379,0.0464,7.0,4.0,23.0,8.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,7.0,23.0,3.0,5.0,1.5764,5,1.6681,5,-0.57,-1.33,0.1,-1.31,-1.57,-0.89,0.25,-0.6,0.15,0.21,4,8.0,1,1,-0.26,0.2,0.66,1.48,0.86,1,1,0.61,-0.75,-0.22,0.03,-0.33,4,1,-0.31,-0.8,-1.38,-1.11,8,5,3,12
22044,1,8,199312.0,-0.0795,0.2603,38.9997,49.9255,0.9878,0.6855,0.2813,0.0705,0.0541,2.0,4.0,29.0,8.0,2.0,4.0,11.0,4.0,1.0,2.0,4.0,29.0,8.0,4.0,11.0,4.0,5.0,0.7478,5,0.9101,5,-0.57,-1.9,-0.97,-1.31,-0.33,-1.5,-0.48,-0.23,-0.64,-0.2,7,6.0,1,1,0.95,0.37,0.79,0.4,1.61,1,1,-0.01,0.94,-0.87,-0.35,-0.55,3,3,0.23,0.46,0.26,0.61,2,3,12,1
22045,1,8,199506.0,0.0732,0.4177,41.1036,51.5102,0.9934,0.7746,0.3827,0.0837,0.0571,3.0,3.0,29.0,8.0,2.0,2.0,13.0,3.0,1.0,3.0,3.0,29.0,8.0,2.0,13.0,5.0,9.0,0.6629,5,0.569,5,-0.57,-1.33,-1.41,-0.66,0.27,-0.33,-0.91,-2.22,-0.39,-2.17,6,6.0,8,8,-0.03,0.2,0.3,-0.11,-0.13,1,8,0.01,0.17,0.16,-0.13,-0.13,2,2,0.5,-0.89,-0.9,-0.75,1,5,6,15
22050,2,8,199502.0,-0.604,0.2437,31.0815,44.4805,0.9112,0.273,0.0942,0.0484,0.0489,2.0,2.0,43.0,8.0,2.0,4.0,11.0,4.0,1.0,2.0,2.0,43.0,8.0,4.0,11.0,6.0,5.0,0.2124,4,0.2677,4,1.76,0.67,1.62,1.69,0.27,-1.03,1.12,0.49,0.23,0.63,10,10.0,8,8,-0.03,0.2,0.3,-0.11,-0.13,8,8,0.01,0.17,0.16,-0.13,-0.13,1,4,0.64,-0.05,-0.15,-0.01,1,5,2,1
22051,2,8,199503.0,0.7817,0.2829,49.9079,58.865,0.9997,0.9621,0.8789,0.2839,0.0957,7.0,4.0,41.0,8.0,1.0,4.0,25.0,7.0,1.0,4.0,3.0,25.0,8.0,7.0,41.0,5.0,5.0,1.0894,5,1.1957,5,0.6,-0.3,-0.17,0.19,-0.33,-0.33,-0.05,0.16,-0.39,-0.96,8,6.0,1,1,-0.43,0.09,0.35,0.18,0.57,1,1,0.27,-0.86,0.98,-1.63,-0.13,4,4,-0.98,0.85,1.15,0.33,1,5,3,0
22052,1,2,199509.0,1.355,0.2342,56.6929,64.817,1.0,0.9927,0.9872,0.6995,0.2193,5.0,1.0,0.0,2.0,2.0,4.0,37.0,5.0,1.0,5.0,1.0,0.0,2.0,4.0,37.0,5.0,2.0,0.1367,4,-0.0193,3,1.16,1.31,1.62,-0.68,0.27,1.69,1.83,1.38,0.12,-0.94,10,8.0,3,2,0.55,1.44,0.7,-2.4,-0.24,1,1,-0.17,1.05,0.49,-0.41,-0.3,2,1,0.44,0.03,0.26,0.2,1,5,9,4
22053,2,2,199501.0,1.3142,0.2441,56.2168,64.3933,1.0,0.9918,0.9847,0.671,0.2049,7.0,3.0,29.0,2.0,2.0,5.0,11.0,7.0,1.0,7.0,3.0,29.0,2.0,5.0,11.0,5.0,8.0,1.8254,5,1.6815,5,1.19,0.9,1.34,0.49,0.91,0.52,0.25,-0.67,1.1,1.09,10,10.0,1,8,-0.33,0.74,1.29,-0.88,1.77,1,8,0.01,0.17,0.16,-0.13,-0.13,2,1,1.25,1.56,1.15,1.1,1,5,1,0
22054,2,2,199508.0,0.6724,0.2798,48.593,57.7307,0.9994,0.9489,0.8274,0.2282,0.0852,1.0,2.0,41.0,2.0,1.0,1.0,41.0,1.0,1.0,1.0,3.0,41.0,2.0,1.0,41.0,4.0,4.0,-0.8442,1,-0.9143,1,1.19,0.9,0.55,0.49,2.15,1.27,1.12,0.16,0.45,1.01,6,7.0,8,8,-0.03,0.2,0.3,-0.11,-0.13,1,1,-0.48,0.89,0.07,0.08,-0.13,4,3,0.08,-1.09,-0.9,-1.66,1,5,8,0
